tag;real_tag;server;description;name;unit;measurement_type;process;area;sub_area;section;equipment;data_type;derived;quality_score;profit_type;target;r2_feature;r3_feature;r4_feature;r5_feature;r6_feature;r7_feature;r9_feature;r10_feature;range_min;range_max;max_delta;on_off_dependencies;constraint_set;comentarios;dist_count;dist_mean;dist_std;dist_min;dist_2%;dist_10%;dist_20%;dist_50%;dist_80%;dist_90%;dist_98%;dist_max;dif_count;dif_mean;dif_std;dif_min;dif_2%;dif_10%;dif_20%;dif_50%;dif_70%;dif_80%;dif_90%;dif_98%;dif_max;tag_type;op_min;op_max
valvula_fcv_r6;valvula_fcv_r6;;;;;;;;;;;;;;;;;;;;1;;;;;;;on_off_floculante_r6, on_off_flujo_alimentacion_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turbidez_r6;turbidez_r6;;;;;;;;;;;;;;;;;;;;1;;;;;;;on_off_floculante_r6, on_off_flujo_alimentacion_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
target_torque_r7;target_torque_r7;;;;;;;;;;;;;;;r7_esp_target;;;;;;;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r7;delta_torque_r7;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r7_1hora;delta_torque_r7_1hora;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r7_2hora;delta_torque_r7_2hora;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r7_4hora;delta_torque_r7_4hora;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r7_8hora;delta_torque_r7_8hora;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dosificacion_acumulada_floculante_r7;dosificacion_acumulada_floculante_r7;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_densimetros_r7;promedio_densimetros_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
media_mov_densimetros_r7;media_mov_densimetros_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_apertura_valv_descarga_r7;promedio_apertura_valv_descarga_r7;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nivel_rastras_r7;nivel_rastras_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agua_clara_media_r7;agua_clara_media_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flujo_alimentacion_r7;flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nivel_interfaz_r7;nivel_interfaz_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
valvula_fcv_r7;valvula_fcv_r7;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turbidez_r7;turbidez_r7;;;;;;;;;;;;;;;;;;;;;1;;;;;;on_off_floculante_r7, on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
target_torque_r9;target_torque_r9;;;;;;;;;;;;;;;r9_esp_target;;;;;;;;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r9;delta_torque_r9;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r9_1hora;delta_torque_r9_1hora;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r9_2hora;delta_torque_r9_2hora;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r9_4hora;delta_torque_r9_4hora;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r9_8hora;delta_torque_r9_8hora;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dosificacion_acumulada_floculante_r9;dosificacion_acumulada_floculante_r9;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_densimetros_r9;promedio_densimetros_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
media_mov_densimetros_r9;media_mov_densimetros_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_apertura_valv_descarga_r9;promedio_apertura_valv_descarga_r9;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nivel_rastras_r9;nivel_rastras_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agua_clara_media_r9;agua_clara_media_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flujo_alimentacion_r9;flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
valvula_fcv_r9;valvula_fcv_r9;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turbidez_r9;turbidez_r9;;;;;;;;;;;;;;;;;;;;;;1;;;;;on_off_floculante_r9, on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
target_torque_r10;target_torque_r10;;;;;;;;;;;;;;;r10_esp_target;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r10;delta_torque_r10;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r10_1hora;delta_torque_r10_1hora;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r10_2hora;delta_torque_r10_2hora;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r10_4hora;delta_torque_r10_4hora;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_torque_r10_8hora;delta_torque_r10_8hora;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dosificacion_acumulada_floculante_r10;dosificacion_acumulada_floculante_r10;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_densimetros_r10;promedio_densimetros_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
media_mov_densimetros_r10;media_mov_densimetros_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_apertura_valv_descarga_r10;promedio_apertura_valv_descarga_r10;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agua_clara_media_r10;agua_clara_media_r10;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nivel_interfaz_r10;nivel_interfaz_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turbidez_r10;turbidez_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
presion_cono_decimal_suav_r10;presion_cono_decimal_suav_r10;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
presion_cono_decimal_r10;presion_cono_decimal_r10;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delta_presion_cono_decimal_r10;delta_presion_cono_decimal_r10;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agua_Fresca_Colon;Agua_Fresca_Colon;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Procesamiento_SAG;Procesamiento_SAG;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Procesamiento_Convencional;Procesamiento_Convencional;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Procesamiento_Total;Procesamiento_Total;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solido_SAG;Solido_SAG;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solido_Convencional;Solido_Convencional;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agua_SAG;Agua_SAG;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agua_Convencional;Agua_Convencional;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agua_Total;Agua_Total;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEA_Total;CEA_Total;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tph_sag1;tph_sag1;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tph_sag2;tph_sag2;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tph_sag_mills;tph_sag_mills;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_descarga_bomba_15_16;promedio_descarga_bomba_15_16;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
promedio_descarga_bomba_17_18;promedio_descarga_bomba_17_18;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flujo_agua_recup_prom;flujo_agua_recup_prom;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
agua_prom_descarga_recuperadores;agua_prom_descarga_recuperadores;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ph_ca6_suavizado;ph_ca6_suavizado;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
calc_torque_esp_total;calc_torque_esp_total;;;;;;;;;;;;;;;esp_obj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
on_off_floculante_r2;on_off_floculante_r2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r2;on_off_valvulas_descarga_l1_r2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r2;on_off_valvulas_descarga_l2_r2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r2;on_off_densimetro_01_r2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r2;on_off_densimetro_02_r2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_nivel_interfaz_r2;on_off_nivel_interfaz_r2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_flujo_alimentacion_r2;on_off_flujo_alimentacion_r2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_floculante_r3;on_off_floculante_r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r3;on_off_valvulas_descarga_l1_r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r3;on_off_valvulas_descarga_l2_r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r3;on_off_densimetro_01_r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r3;on_off_densimetro_02_r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_nivel_interfaz_r3;on_off_nivel_interfaz_r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_flujo_alimentacion_r3;on_off_flujo_alimentacion_r3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_floculante_r4;on_off_floculante_r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r4;on_off_valvulas_descarga_l1_r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r4;on_off_valvulas_descarga_l2_r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r4;on_off_densimetro_01_r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r4;on_off_densimetro_02_r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_nivel_interfaz_r4;on_off_nivel_interfaz_r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_flujo_alimentacion_r4;on_off_flujo_alimentacion_r4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_floculante_r5;on_off_floculante_r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r5;on_off_valvulas_descarga_l1_r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r5;on_off_valvulas_descarga_l2_r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r5;on_off_densimetro_01_r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r5;on_off_densimetro_02_r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_nivel_interfaz_r5;on_off_nivel_interfaz_r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_flujo_alimentacion_r5;on_off_flujo_alimentacion_r5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_floculante_r6;on_off_floculante_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r6;on_off_valvulas_descarga_l1_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r6;on_off_valvulas_descarga_l2_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r6;on_off_densimetro_01_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r6;on_off_densimetro_02_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_nivel_interfaz_r6;on_off_nivel_interfaz_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_flujo_alimentacion_r6;on_off_flujo_alimentacion_r6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_floculante_r7;on_off_floculante_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r7;on_off_valvulas_descarga_l1_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r7;on_off_valvulas_descarga_l2_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r7;on_off_densimetro_01_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r7;on_off_densimetro_02_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_nivel_interfaz_r7;on_off_nivel_interfaz_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_flujo_alimentacion_r7;on_off_flujo_alimentacion_r7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_floculante_r9;on_off_floculante_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r9;on_off_valvulas_descarga_l1_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r9;on_off_valvulas_descarga_l2_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r9;on_off_densimetro_01_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r9;on_off_densimetro_02_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_flujo_alimentacion_r9;on_off_flujo_alimentacion_r9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_floculante_r10;on_off_floculante_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l1_r10;on_off_valvulas_descarga_l1_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_valvulas_descarga_l2_r10;on_off_valvulas_descarga_l2_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_01_r10;on_off_densimetro_01_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_densimetro_02_r10;on_off_densimetro_02_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_nivel_interfaz_r10;on_off_nivel_interfaz_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
on_off_presion_cono_decimal_r10;on_off_presion_cono_decimal_r10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;on_off;;
